" available for refund"," beschikbaar voor terugstorting"
"N.B. This value does not influence whether or not this portfolio is available. This is only used as a label!","N.B. Deze waarde wordt enkel gebruikt om klanten in te lichten. De portefeuille zal nog steeds beschikbaar zijn als dit bedrag overschreden wordt."
"Status Pending","Status wachtende"
"Pending is the default state for a new order.","Wachtende is de standaard status voor nieuwe bestellingen."
"For administrative purposes a new status can be created connected to new.","Voor administratieve doeleinden is het mogelijk om een nieuwe status aan te maken gekoppeld aan de state 'new'"
"Status Accepted","Status geaccepteerd"
"Processing is the default state for an order with an invoice or a shipment.","Bezig met verwerken is de standaard status voor een bestelling met een factuur of verzending."
"For administrative purposes a new status can be created connected to processing.","Voor administratieve doeleinden is het mogelijk om een nieuwe status aan te maken gekoppeld aan de state 'processing'"
"Status Refused","Status geweigerd"
"Canceled is the default state for an unprocessed order terminated.","Geannuleerd is de standaard status voor geweigerde bestellingen die geannuleerd zijn."
"Accept Risk orders","Accepteer risico bestellingen"
"Risk Portfolio ID","Risico portefeuille ID"
"Live Password For Risk Portfolio","Live wachtwoord voor risico portefeuille"
"Test Password For Risk Portfolio","Test wachtwoord voor risico portefeuille"
"Status Pending Manual Risk","Status wachtende manuele risico bestellingen"
"Status Pending Risk","Status wachtende risico bestellingen"
"Status Accepted Risk","Status geaccepteerd risico bestellingen"
"Allowed Client groups","Toegestane klantgroepen"
"Select whether all customers may make use of this payment option, or only customers from specific customer groups.","Selecteer of all klanten gebruik kunnen maken van deze portefeuille of enkel klanten die behoren tot een specifieke klantengroep."
"Specific client groups","Specifieke klantengroepen"
"Only available if 'Allowed Client groups' is set to 'specific client groups'.","Enkel beschikbaar als 'Toegestane klantgroepen' op 'specifieke klantengroepen' staat."
"Define which client groups are allowed to make use of this portfolio.","Selecteer welke klantengroepen gebruik kunnen maken van deze portefeuille."
"Sort order","Sorteer volgorde"
"This value will determine in what order the portfolio's will appear to the customer","Deze waarde bepaalt in welke volgorde portefeuilles aan de klant gepresenteerd worden."

"AfterPay Module - Capture Settings","AfterPay Module - Capture Instellingen"
"Capture Mode","Capture modus"
"Select whether AfterPay will automatically attempt to capture the order or if the module should manually attempt to capture the order.","Selecteer of AfterPay automatisch de bestelling 'capturet' of dat de module dit handmatig dient te doen."
"Capture delay","Capture vertraging."
"in days.","In dagen."
"Select the amount of days AfterPay will wait after capturing the order, before the invoice is sent to the customer.","Selecteer hoeveeldagen AfterPay dient te wachten na het capture verzoek."
"Status Capture Request Accepted","Status capture geaccepteerd"
"Status Capture Request Refused","Status capture geweigerd"

"AfterPay Module - Refund Settings","AfterPay Module - Terugbetaling Instellingen"
"Enable refunding","Activeer terugbetalingen"
"If you set this to 'No', you will only ber able to perform offline refunds on AfterPay transactions","Indien deze optie op Nee staat, is het enkel mogelijk om offline terugbetalingen te verrichten."

"Unable to capture this invoice","Niet mogelijk om deze factuur te capturen"
"Can only capture full invoices. Partial invoices cannot be captured by AfterPay.","Het is enkel mogelijk om een capture verzoek in te dienen voor volledige facturen."
"Tax classes may not be selected for more than 1 VAT group","Belasting groepen mogen aan slechts 1 BTW groep toegekend worden."
"You cannot refund a larger amount than is available. Maximum Payment Fee available for refund: ","Het is niet mogelijk om een groter bedrag terug te betalen dan beschikbaar is. Maximale servicekosten bedrag beschikbaar: "
"An error occurred while processing your refund request: ","Er is een fout opgetreden tijdens de verwerking van deze bestelling: "
"An error occurred while processing your refund request.","Er is een fout opgetreden tijdens de verwerking van deze bestelling."
"Refund action is not available.","Terugbetalen is niet mogelijk."
"An error occurred while processing your refund request: ","Er is een fout opgetreden tijdens de verwerking van de terugbetaling: "
"An error occurred while processing your refund request.","Er is een fout opgetreden tijdens de verwerking van de terugbetaling."
"Did not recognize tax class for class ID: ","De BTW groep voor deze belastinggroep werd niet herkend: "
"This order has already been captured by AfterPay.","Deze bestelling is al gecapturet door AfterPay."
"Online refunding is disabled. Please us offline refunding or enable online refunding in the config.","Online terugbetalen is gedeactiveerd. Probeer een offline terugbetaling of activeer online terugbetalen in de configuratie."
"This order has not yet been captured by AfterPay.","Deze betselling is nog niet gecapturet door AfterPay."
"No response was available","Geen antwoord ontvangen van AfterPay"
"Your order has been placed succesfully.","Uw bestelling is succesvol ontvangen"
"Your order was unsuccesful. Please try again or choose another payment method.","Uw bestelling was onsuccesvol. Probeer het s.v.p. opnieuw of kies een andere betaalmethode."
"This order is awaiting final approval. You will receive an update regarding the status of this order shortly. If you do not receive an update about the status of this order, please contact the webshop's owner.","Deze bestelling wacht op goedkeuring. U ontvangt binnenkort een update met betrekking tot deze bestelling. Indien u geen bericht ontvangt, neem dan s.v.p. contact op met de webshop eigenaar."
"This order has been rejected. You can attempt to process the order using a risk portfolio by using the re-order button","Deze bestelling is afgekeurd. U kunt de bestelling opneiwu proberen door op de 'reorder' knop te klikken."
"A technical error has occurred. Please try again. If this problem persists, please contact the shop owner.","Er is een technische fout opgetreden. Als deze fout zich blijft voordoen, neem dan s.v.p. contact op met de webshop."
"Your order has been placed succesfully. You will recieve an e-mail containing further payment instructions shortly.","Uw bestelling is geplaatst. U zult binnenkort verder bericht krijgen over hoe u de betaling kunt voldoen."
"One or more fields you have entered appear to be incorrect. Please check all values entered and try again.","Eén of meerdere velden die u heeft ingevuld, zijn incorrect. Controleer s.v.p. uw gegevens en probeer het nog eens."
"A technical error has occurred. Please contact the shop owner.","Er is een technische fout opgetreden. Neem s.v.p. contact op met de webwinkeleigenaar."
"This order has been accepted by AfterPay.","Deze bestelling is geaccepteerd door AfterPay."
"This order has been captured by AfterPay","Het capture verzoek is door AfterPay geaccepteerd."
"AfterPay is currently unable to capture this invoice.","Het is momenteel niet mogelijk om deze factuur te capturen"
"AfterPay capture attempt has failed","Het capture verzoek is door AfterPay geweigerd."
"AfterPay capture attempt has failed","Het capture verzoek is gefaald."
"Could not verify the authenticity of the capture response.","De authenticiteit van het antwoord op het capture verzoek kon niet bevestigd worden."
"this invoice was captured by AfterPay.","Het capture verzoek is door AfterPay geaccepteerd."
"AfterPay is currently unable to capture this invoice.","Het is momenteel niet mogelijk om deze factuur te capturen."
"Unable to capture this invoice, due to one or more values being incorrect.","Het capture verzoek is afgewezen, omdat één of meerdere velden incorrect zijn."
"A technical error occurred whilst trying to capture this invoice","Er is een technische fout opgetreden tijdens het verwerken van het capture verzoek."

"This order has been refunded by AfterPay","Deze bestelling is terugbetaald door AfterPay."
"Unable to accept refund.","Niet mogelijk om de bestelling terug te betalen."
"AfterPay refund attempt has failed","AfterPay terugbetalingsverzoek is gefaald."
"Could not verify the authenticity of the refund response.","Kon de authenticiteit van het antwoord op het terugbetalingsverzoek van AfterPay niet bevestigen."

"Gender:","Geslacht:"
"Please select.","Selecteer s.v.p."
"Male","Man"
"Female","Vrouw"
"Date of Birth","Geboortedatum"
"YYYY","JJJJ"
"Bank account number:","Bankrekening nummer:"
"Company name:","Bedrijfsnaam:"
"Coc number:","KvK nummer:"

"Refund AfterPay Fee","Terug te betalen servicekosten"
"Looking for Afterpay payment methods? We have our own tab to the left under Sales.","Op zoek naar AfterPay betaalmethodes? Wij hebben onze eigen tab links onder verkoop."

"AfterPay Module version ","AfterPay module versie "
"Version compatibility","Versie compatibiliteit"
"First steps","Configuratie stappen"
"Manual &amp; Installation","Handleiding & installatie"
"The manual will help you install &amp; configure the module. To start using the module read the AfterPay checklist.","De handleiding helpt u met het installeren en configureren van de module. Lees s.v.p. de AfterPay checklist voordat u gebruik maakt van de module."
"Module manual","Module handleiding"
"Afterpay checklist","AfterPay checklist"
"For general questions email AfterPay's %sCustomer Service%s.","Voor vragen over de module kunt u contact opnemen met AfterPay's %scustomer service%s."
"For module configuration support email %sSupport%s.","Voor technische ondersteuning kunt u contact opnemen met de %ssupport afdeling%s."
"For instant support call %s","Voor directe ondersteuning bel %s"
"Please email your feedback to %sTotal Internet Group%s.","U kunt uw feedback mailen naar %sTotal Internet Group%s"

"You can find additional information at: %s","U kunt meer informatie vinden op: %s"

"Please enter a housenumber.","Vul s.v.p. een huisnummer in."

"Costcenter","Kostenplaats"
"Costcenter:","Kostenplaats:"

"Tax class for Discount","BTW groep voor korting."
"Select which tax class should be used for the Discount","Selecteer welke BTW groep gebruikt dient te worden voor de berekening van de korting."

"Allowed Countries", "Toegestane Landen"
"Payment from Specific Country", "Betaling van specifieke landen"
"Only available if 'Payment from applicable countries' is set to 'specific countries'.", "Alleen beschikbaar als 'Betaling van specifieke landen' staat op 'Specifieke Landen'"
"All allowed client groups","alle klantgroepen toestaan"
"Not allowed by shipping methods", "AfterPay niet toestaan bij geselecteerde verzendmethode(n)"
"Select all the shipping methods where the AfterPay module should NOT be allowed for.", "Selecteer alle verzendmethoden waarbij de AfterPay module NIET is toegestaan."
"Use CTRL + mouseclick to select multiple entries.","Gebruik CTRL + muisklik om meerdere verzendmethoden te selecteren."



"The module is developed by Total Internet Group, commissioned by AfterPay. For configuration conflicts, bugs and Magento based support contact AfterPay:","De module is ontwikkeld door Total Internet Group in opdracht van AfterPay. Voor configuratie conflicten, bugs en Magento gerelateerde vragen kunt u contact opnemen met AfterPay:"
"Module basic configuration and account information","Algemene instellingen en account gegevens."
"Acquire your MerchantID, Password  prior contacting AfterPay technical support:","Voor ondersteuning bij het instellen van uw account gegevens neem contact op met AfterPay support. Zorgt ervoor dat u MerchantID en wachtwoord bij de hand heeft:"
"Module support and advanced configuration","Module support en geavanceerde configuratie"
"For configuration conflicts, bugs and Magento based support contact Total Internet Group:","Voor configuratie conflicten, bugs en Magento gerelateerde vragen neem contact op met Total Internet Group:"

"Module configuration and account information","Module configuratie en accountinformatie"
"Module development","Module ontwikkeling"
"For custom module development and payment processsing in your webshop, please contact Total Internet Group.","Voor het op maat maken van modules en betaalverwerking in uw webwinkel, kunt u contact opnemen met Total Internet Group."

"Legend","Legenda"
"Payment method - Disabled","Betaalmethode - Uitgeschakeld"
"Payment method - Test Modus","Betaalmethode - Test"
"Payment method - Live Modus","Betaalmethode - Live"
"Advanced Configuration","Geavanceerde instelling"
"Extended Configuration","Uitgebreide instelling"
"Magento &amp; 3rd party version compatibility","Magento &amp; 3rd party versie compatibiliteit"
"Magento Community Edition version","Magento Community Edition versie"
"Magento Enterprise Edition version","Magento Enterprise Edition versie"
"OneStepCheckout version","OneStepCheckout versie"
"Support","Support"
"Online support form:","Online support form:"
"E-mail:","E-mail:"
"Online Documentation","Online Documentatie"
"Documentation","Documentatie"

"A list of documents regarding the module.","Documentatie behorende bij deze module."
"Afterpay checklist","Afterpay checklist"
"Changelog and Release notes","Changelog en Release notes"

"Phone:","Telefoon:"
"E-mail:","E-mail:"

"Test environment:", "Test omgeving"
"Live environment:", "Live omgeving"

"Show bankaccount input field", "Bankrekeningnummer veld weergeven"
"Select Yes to show the bankaccount input field.", "Selecteer Ja om het veld bankrekeningnummer weer te geven."

"Portfolio country", "Portefeuille land"
"Select the country of transaction contract", "Selecteer het land waarvoor de transactie moet plaatsvinden"

"Netherlands", "Nederland"
"Belgium", "Belgie"
"Germany", "Duitsland"

"Yes, direct", "Ja, direct"
"Yes, at selected status", "Ja, op geselecteerde status"
"Yes, at shipping", "Ja, bij verzending"

"Auto invoice status", "Automatische facturatie bij status"
"Select status on which the invoice must be created", "Selecteer de status waarop de factuur moet worden aangemaakt"

"Push Password (only for Belgium)", "Push wachtwoord (alleen voor Belgie)"
"Your push password is provided by AfterPay.", "Het push wachtwoord wat u van AfterPay heeft ontvangen."

"Yes", "Ja"
"No", "Nee"

"Status Accepted No Invoice", "Status geaccepteerde order, maar nog geen factuur"
"New is the default state for a new order without invoice.", "Nieuw is de standaard status voor een order zonder factuur"

"Select Yes to enable advisory process.", "Selecteer Ja om het adviesproces te activeren"

"Separate Discount", "Korting als orderregel doorgeven"
"Select Yes to sent the discount as separate order line to AfterPay", "Selecteer Ja om de korting als orderregel door te geven, bij Nee wordt de korting op de orderregels van de producten verrekend."

"Phone number", "Telefoonnummer"
"Show gender input field", "Geslacht weergeven"
"Select Yes to show the gender input field.", "Selecteer Ja om het geslacht veld weer te geven bij de AfterPay betaalmethode. Bij Nee wordt er gekeken naar het standaard geslacht veld van Magento. Let op: Geslacht is een verplichte waarde voor AfterPay."

"Show phone number input field", "Telefoonnummer weergeven"
"Select Yes to show the phone number input field.", "Selecteer Ja om het telefoonnummer veld weer te geven bij de AfterPay betaalmethode. Bij Nee wordt er gekeken naar het standaard telefoonnummer veld van Magento. Let op: Telefoonnummer is een verplichte waarde voor AfterPay."

"Show date of birth input field", "Geboortedatum weergeven"
"Select Yes to show the date of birth input field.", "Selecteer Ja om het geboortedatum veld weer te geven bij de AfterPay betaalmethode. Bij Nee wordt er gekeken naar het standaard geboortedatum veld van Magento. Let op: Geboortedatum is een verplichte waarde voor AfterPay."

"Show terms and conditions checkbox", "Algemene voorwaarden veld weergeven"
"Select Yes to show the terms and conditions checkbox.", "Selecteer Ja om het algemene voorwaarden veld weer te geven bij de AfterPay betaalmethode. Let op: Consumenten moeten akkoord gaan met de algemene voorwaarden van AfterPay. Dit kan ook door de voorwaarden met een link op te nemen in uw eigen algemene voorwaarden."

"Validation URL", "URL verwijzen na validatiefout"
"The page a customer is redirected to when an order is denied by validation error. Leave blank for default magento.", "Vul hier de pagina in waarnaar de consument moet worden verwezen nadat een validatiefout is opgetreden. Laat het leeg om de standaard van Magento te gebruiken"

"Disabled", "Uitgeschakeld"
"Automatic", "Automatisch"
"Manual", "Handmatig"

"Send Invoice Mail", "Verstuur factuur email"
"Select Yes to send Magento Invoice mail", "Selecteer Ja om de Magento Factuur te versturen"

"The date of birth is missing invalid. Please check your date or birth or contact our customer service.","De geboortedatum mist of is ongeldig. Controleer uw geboortedatum of neem contact op met onze klantenservice"

"Show payment method only for certain IP adresses","Betaalmethode tonen op basis van IP adres"
"Hide payment method only for certain IP adresses","Betaalmethode verbergen op basis van IP adres"
"IP Adresses","IP Adressen"
"Use comma to seperate IP adresses","Gebruik een comma om IP adressen te scheiden"
"Your current IP Adresses","Uw huidige IP adres"

"Refund to store credits or reward points is not possible, using AfterPay online refund. First do an offline refund for the desired amount to credit / award points. Then do an online AfterPay refund for the remaining amount, if applicable.","Een creditering naar winkeltegoed of spaarpunten is niet mogelijk i.c.m. een AfterPay (online) terugbetaling. Doe eerst een handmatige (offline) terugbetaling voor het bedrag dat u wilt terugboeken naar winkeltegoed / spaarpunten. Indien nodig, doe daarna een (online) terugboeking voor het resterende bedrag."
